Ref ID,Development Status (short),Installed Capacity (MWelec),Operational,lon,lat,area (sqm)
1523,Operational,4.8,2016-05-31,-6.199,54.671,89663
1525,Operational,10.5,2016-03-11,-0.697,53.322,185800
1527,Operational,13.2,2014-03-31,1.606,52.434,286000
1528,Operational,32.5,2014-07-29,-0.521,53.015,674700
1529,Operational,13.2,2014-03-31,-1.426,51.794,255000
1530,Revised,10.0,,-1.208,52.055,220000
1531,Operational,10.0,2016-02-29,-0.322,50.943,282800
1536,Operational,7.6,2016-01-20,-0.342,50.946,142131
1537,Operational,32.0,2015-03-31,1.357,52.755,599355
1538,Operational,5.0,2013-12-31,-1.367,51.188,93411
1540,Operational,3.1,2013-03-28,-4.892,50.503,57808
1541,Operational,5.0,2013-03-30,-4.844,50.504,144900
1542,Operational,2.7,2014-07-01,-0.148,52.55,50312
1543,Operational,4.5,2014-03-19,-5.218,50.047,89900
1544,Operational,5.0,2013-04-07,-5.135,50.122,130000
1545,Operational,5.0,2013-03-31,-5.121,50.286,93411
1546,Operational,5.0,2013-03-30,-4.835,50.32,146000
1547,Operational,1.6,2012-03-01,-4.93,50.49,27900
1548,Operational,5.0,2013-05-07,-4.93,50.341,93411
1549,Operational,3.0,2012-07-27,-4.377,50.804,55934
1550,Operational,5.0,2012-03-29,0.95,52.475,72800
1551,Operational,5.0,2012-03-15,-4.738,50.48,138000
1552,Operational,5.0,2013-03-22,-1.116,51.974,154000
1553,Operational,5.0,2012-06-28,0.221,52.318,178000
1554,Operational,5.0,2012-11-30,-5.005,50.43,145000
1555,Operational,4.6,2013-03-28,-0.319,52.774,124300
1556,Revised,5.0,,-1.642,51.762,160900
1557,Operational,5.0,2013-03-21,-3.925,51.125,93411
1558,Operational,5.0,2012-07-31,-1.449,50.693,152667
1560,Operational,4.9,2013-03-13,-4.805,50.424,113800
1561,Operational,5.0,2014-01-28,-4.449,50.698,151900
1562,Operational,5.0,2012-07-23,-1.36,50.805,120000
1563,Operational,3.6,2012-06-01,-4.962,50.494,94500
1564,Operational,6.4,2014-01-17,-4.326,50.507,173900
1565,Revised,4.7,,-5.061,50.349,87789
1566,Operational,7.0,2014-03-14,-4.928,50.423,161000
1567,Operational,5.0,2013-03-28,-2.324,50.7,93411
1569,Operational,5.0,2013-03-28,-3.346,50.932,158000
1570,Operational,5.0,2013-03-22,-1.536,51.211,158000
1571,Operational,5.0,2012-08-14,-0.705,50.837,179200
1572,Operational,5.0,2013-02-28,-4.423,50.711,156900
1573,Operational,5.4,2013-02-21,-1.666,51.195,120200
1574,Operational,4.8,2012-04-01,-2.935,50.779,85600
1575,Operational,7.0,2014-02-05,-2.586,51.259,130888
1576,Operational,2.0,2013-04-15,-2.906,50.874,36600
1577,Operational,2.0,2015-12-15,-3.089,51.562,45100
1578,Operational,3.3,2011-07-31,-0.697,53.322,61555
1580,Operational,2.5,2013-01-11,-2.912,51.601,56000
1581,Operational,5.0,2011-12-01,-0.446,51.06,130000
1582,Operational,3.0,2015-01-15,-1.205,52.11,77300
1583,Operational,5.0,2013-03-20,-4.162,50.434,93411
1584,Operational,2.5,2013-03-28,-4.749,50.397,69900
1585,Operational,34.0,2013-03-28,-1.112,52.803,754600
1586,Operational,3.5,2013-03-28,-2.427,51.044,120000
1587,Operational,1.2,2012-07-27,-3.314,50.946,22204
1588,Operational,1.4,2014-11-04,-4.778,50.441,25952
