Ref ID,Development Status (short),Installed Capacity (MWelec),Operational,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),lon,lat
4384,Awaiting Construction,8.2,,2.05,4,122.0,-2.385,53.719
4385,Under Construction,62.0,,4.8,13,180.0,-3.946,55.498
4386,Operational,239.0,2017-12-15,2.5,96,,-4.802,54.988
4389,Awaiting Construction,4.0,,2.0,2,,-4.197,55.389
4390,Operational,8.0,2017-01-19,2.0,4,,-1.326,54.546
4391,Revised,20.0,,2.5,8,,-5.166,54.91
4393,Revised,72.0,,3.0,24,,-3.759,58.532
4395,Operational,18.0,2014-05-14,3.0,6,,-4.841,57.68
4399,Operational,7.2,2014-06-30,0.8,9,,-0.862,52.162
4403,Operational,8.8,2018-12-01,2.0,4,,0.863,51.396
4404,Operational,1.5,2014-12-01,1.5,1,127.0,-3.159,56.164
4408,Operational,18.0,2017-01-24,2.5,9,115.0,-1.933,53.779
4409,Operational,20.0,2017-05-01,2.5,8,125.0,-3.522,51.587
4410,Operational,8.6,2015-11-20,2.85,3,,-1.402,53.574
4411,Operational,4.6,2017-05-01,2.3,2,,-2.372,56.815
4412,Operational,4.0,2018-01-15,1.33,3,,-3.276,51.775
4414,Operational,8.0,2015-04-23,2.0,4,,-0.122,52.468
4415,Operational,12.5,2017-02-15,2.5,5,,-1.321,54.647
4418,Under Construction,208.0,,6.2,35,200.0,-4.074,58.44
4419,Operational,12.3,2014-09-10,3.0,5,,-2.159,53.701
4420,Operational,39.0,2019-03-01,3.0,13,125.0,-3.892,57.393
4422,Operational,10.0,2014-07-01,2.5,4,,-2.405,56.827
4424,Operational,12.5,2015-11-23,2.0,5,,-1.107,52.327
4425,Operational,18.5,2017-09-15,2.05,9,,-3.216,58.435
4427,Operational,30.0,2014-06-30,2.5,12,,-4.209,55.659
4430,Revised,43.0,,3.0,12,125.0,-4.179,55.275
4431,Operational,90.0,2017-06-15,3.0,30,120.0,-4.203,55.292
4432,Operational,8.2,2019-08-01,2.05,4,,-0.166,53.859
4434,Operational,5.1,2019-03-29,0.85,6,,-2.833,55.822
4435,Operational,8.1,2013-08-27,2.03,4,,-4.788,54.866
4437,Operational,25.0,2017-03-15,2.5,10,,-3.515,55.249
4438,Revised,21.0,,3.0,7,,-3.991,54.887
4440,Operational,51.0,2019-05-16,3.4,15,,-3.804,55.513
4441,Operational,32.4,2018-02-01,3.4,9,,-4.047,55.344
4442,Revised,25.0,,2.5,10,,-2.842,55.839
4445,Operational,9.1,2012-09-01,1.3,7,,-4.516,54.872
4447,Revised,2.4,,0.8,3,,-3.768,54.954
4448,Revised,21.6,,3.6,6,150.0,-6.525,58.029
4449,Operational,30.0,2020-11-01,2.0,15,,-3.108,55.1
4450,Operational,4.0,2014-09-09,2.0,2,,-3.769,56.215
4454,Revised,5.0,,1.0,5,,-4.089,55.128
4455,Revised,25.3,,2.3,11,100.0,-4.1,55.135
4457,Revised,27.0,,3.0,9,,-3.9,55.32
4462,Operational,35.0,2017-03-15,2.5,14,137.0,-4.658,54.802
4465,Operational,2.5,2017-05-15,2.5,1,,-5.087,54.868
4466,Revised,24.0,,3.0,8,,-4.004,55.052
4480,Under Construction,81.0,,4.5,18,149.9,-4.248,55.369
4483,Operational,1.6,2017-03-15,0.8,2,,-5.001,51.774
4484,Operational,2.4,2015-07-15,0.8,3,,-3.76,54.956
4485,Operational,2.5,2016-03-29,2.5,1,,-3.644,51.741
4492,Awaiting Construction,33.6,,4.2,8,149.9,-4.051,55.418
4493,Operational,1.6,2015-09-01,1.6,1,,-1.325,52.64
4497,Operational,1.3,2015-09-15,1.3,1,,-2.143,52.164
4498,Revised,2.3,,2.3,1,,-2.699,57.627
4500,Revised,42.0,,2.0,21,,-3.03,55.173
4501,Operational,15.3,2014-01-15,0.85,18,,-4.728,54.859
4502,Operational,25.3,2018-04-30,2.3,11,,-4.029,55.357
4504,Operational,54.0,2008-04-15,3.0,18,,-7.628,54.19
4505,Revised,34.0,,2.0,17,,-4.081,55.155
4508,Operational,22.0,2010-01-20,2.0,11,,-5.088,54.877
4511,Operational,6.8,2014-07-12,2.26,3,,-2.387,56.94
4513,Operational,14.4,2016-01-18,2.05,7,,-0.755,52.45
4514,Operational,1.0,2015-11-15,0.5,2,,-3.949,55.379
4516,Operational,4.5,2017-12-19,0.9,5,,-2.825,55.817
4517,Operational,36.8,2008-03-01,2.3,16,,-3.353,55.122
